genbank_accession	isolate	isolation_source	broad_category	completeness	contamination	contigs	total_length	gc	n50	sample_description	fermented_food	specific_substrate	substrate_category	category
GCA_000591415.1	Cobetia crustatorum	From jogae jeotgal###Jeotgal, traditional Korean fermented seafood###Fermented seafood	#Fermented	90.41	1.13	138	4049952	57.52	52455	From jogae jeotgal###Jeotgal, traditional Korean fermented seafood###Fermented seafood	jeotgal	clams	seafood	fermented_seafood
GCA_001434855.1	Companilactobacillus bobalius	Bobal grape must###Spanish Bobal grape must	#Fruit (Seed)	98.8	2.65	29	2879146	35.25	424712	Bobal grape must###Spanish Bobal grape must	wine	grape	fruit	fermented_beverages
GCA_000184535.1	Companilactobacillus farciminis	Food, Sausage###sausage	#Meat	95.73	3.36	5	2498309	36.38	701607	Food, Sausage###sausage	salami	meat	meat	fermented_meat
GCA_003946325.1	Companilactobacillus furfuricola	Fermented rice bran paste, ""nukadoko""###Nukadoko (fermented rice bran paste for Japanese pickles)	#Food	98.37	1.14	95	2644344	38.62	44771	Fermented rice bran paste, """"nukadoko""""###Nukadoko (fermented rice bran paste for Japanese pickles)	nukadoko	rice	grain	other_fermented_grains
GCA_003946015.1	Companilactobacillus insicii	industrial pure pork salami###fermented raw meat (industrial-type pure pork salami)	#Meat	99.13	0.08	73	2536116	34.95	64521	industrial pure pork salami###fermented raw meat (industrial-type pure pork salami)	salami	meat	meat	fermented_meat
GCA_001438805.1	Companilactobacillus kimchiensis	Kimchi (traditional fermented food)###kimchi, fermented Korean food	#Fermented	99.13	2.94	65	2696617	35.47	85023	Kimchi (traditional fermented food)###kimchi, fermented Korean food	kimchi	cabbage	vegetable	pickled_fruits_vegetables_roots
GCA_001311095.1	Companilactobacillus kimchii	Food, Fermented vegetable, Kimchi###fermented vegetable (kimchi)	#Fermented	87.87	3.46	30	2742293	35.12	161786	Food, Fermented vegetable, Kimchi###fermented vegetable (kimchi)	kimchi	cabbage	vegetable	pickled_fruits_vegetables_roots
GCA_001434275.1	Companilactobacillus mindensis	Commercial sourdough###Industrial rye sourdough starter preparation (BRS)###sourdough	#Fermented	99.13	2.81	87	2331205	38.22	52475	Commercial sourdough###Industrial rye sourdough starter preparation (BRS)###sourdough	sourdough	rye	grain	sourdough
GCA_001435815.1	Companilactobacillus nantensis	Food, Traditional French wheat sourdough###French wheat sourdough###wheat sourdough	#Food	99.13	2.07	83	2910723	36.18	78661	Food, Traditional French wheat sourdough###French wheat sourdough###wheat sourdough	sourdough	wheat	grain	sourdough
GCA_000615905.1	Companilactobacillus nodensis	Food, Rice bran, Japanse pickles###Rice bran###Japanese pickles	#Food	91.28	1.04	52	2678542	37.56	144408	Food, Rice bran, Japanse pickles###Rice bran###Japanese pickles	nukadoko	rice	grain	other_fermented_grains
GCA_000615725.1	Companilactobacillus paralimentarius	sourdough	#Fermented	87.75	1.56	210	2523585	35.13	22613	sourdough	sourdough	wheat	grain	sourdough
GCA_001434665.1	Companilactobacillus tucceti	Food, Meat, sausage###sausage	#Meat	98.29	1.35	42	2171354	34.06	86321	Food, Meat, sausage###sausage	salami	meat	meat	fermented_meat
GCA_000260455.1	Companilactobacillus versmoldensis	Poultry, raw fermented sausage###Raw fermented sausage###poultry salami	NA	98.26	1.33	59	2385973	38.25	87929	Poultry, raw fermented sausage###Raw fermented sausage###poultry salami	salami	meat	meat	fermented_meat
GCA_000550785.1	Corynebacterium casei	Food, Cheese###Cheese,surface of smear-ripened cheese###surface of a smear-ripened cheese###cheese	#Dairy product	99.04	0	3	3132213	55.68	3113488	Food, Cheese###Cheese,surface of smear-ripened cheese###surface of a smear-ripened cheese###cheese	cheese	milk	dairy	fermented_dairy
GCA_001941465.1	Corynebacterium flavescens	Food, Cheese###cheese	#Dairy product	98.97	3.05	1	2758653	59.92	2758653	Food, Cheese###cheese	cheese	milk	dairy	fermented_dairy
GCA_001729785.1	Enterobacter hormaechei subsp. xiangfangensis	Sourdough	#Fermented	99.32	0.39	1	4661849	55.28	4661849	Sourdough	sourdough	wheat	grain	sourdough
GCA_900447695.1	Enterococcus durans	Roquefort cheese	#Dairy product	98.39	0.9	8	3357395	37.69	3078716	Roquefort cheese	cheese	milk	dairy	fermented_dairy
GCA_000185365.1	Enterococcus italicus	Food, Cheese, Toma Piemontese###Cheese,Italian Toma,from bovine milk###toma cheese	#Dairy product	95.96	2.14	55	2415788	39.17	2244623	Food, Cheese, Toma Piemontese###Cheese,Italian Toma,from bovine milk###toma cheese	cheese	milk	dairy	fermented_dairy
GCA_015904215.1	Enterococcus lactis	raw milk cheese (Bitto PDO)	#Dairy product	99.23	0.08	70	2865190	38.14	105702	raw milk cheese (Bitto PDO)	cheese	milk	dairy	fermented_dairy
GCA_000393875.1	Enterococcus malodoratus	Food, Cheese, Gouda###Cheese,Gouda###gouda cheese	#Dairy product	97.21	10.24	10	4654237	39.94	1184980	Food, Cheese, Gouda###Cheese,Gouda###gouda cheese	cheese	milk	dairy	fermented_dairy
GCA_001886265.1	Enterococcus thailandicus	From fermented sausage(mum)###fermented sausage (mum)	#Meat	96.85	0.81	50	2770914	36.6	142012	From fermented sausage(mum)###fermented sausage (mum)	mum	meat	meat	fermented_meat
GCA_005405365.1	Enterococcus xiangfangensis	traditional pickle	#Fermented	96.44	4.91	19	2652541	39.03	263199	traditional pickle	pickle	vegetable	vegetable	pickled_fruits_vegetables_roots
GCA_014644275.1	Franconibacter daqui	Daqu sample	#Beverage	99.31	0	19	4586288	56.5	649259	Daqu sample	daqu	grains	grains	fermented_beverages
GCA_001437175.1	Fructilactobacillus fructivorans	wine	#Fruit (Seed)	95.45	0.27	10	1415974	38.81	368497	wine	wine	grape	fruit	fermented_beverages
GCA_001436035.1	Fructilactobacillus sanfranciscensis	Food, San Francisco sour dough###San Francisco sour dough###San Francisco sourdough	#Food	98.28	0.94	58	1228010	34.69	52620	Food, San Francisco sour dough###San Francisco sour dough###San Francisco sourdough	sourdough	wheat	grain	sourdough
GCA_900112405.1	Fructobacillus durionis	Traditional Malaysian acid-fermented condiment (tempoyak)###Tempoyak (Malaysian acid-fermented condiment made from pulp of the durian fruit)###Tempoyak	#Fermented	92	0.65	17	1327392	44.74	175703	Traditional Malaysian acid-fermented condiment (tempoyak)###Tempoyak (Malaysian acid-fermented condiment made from pulp of the durian fruit)###Tempoyak	tempoyak	durian	fruit	pickled_fruits_vegetables_roots
GCA_000277855.1	Furfurilactobacillus rossiae	Food, Wheat sourdough###wheat sourdough	#Food	98	2.18	69	2907679	43.45	150537	Food, Wheat sourdough###wheat sourdough	sourdough	wheat	grain	sourdough
GCA_001437435.1	Furfurilactobacillus siliginis	Food, Wheat-flour sample taken from standard Korean wheat-flour No. 3, produced by DaeHan Flour Mills, Korea (http://www.dhflour.co.kr)###From fermented food###wheat sourdough	#Food	98.91	0.74	41	2067168	44.08	155219	Food, Wheat-flour sample taken from standard Korean wheat-flour No. 3, produced by DaeHan Flour Mills, Korea (http://www.dhflour.co.kr)###From fermented food###wheat sourdough	sourdough	wheat	grain	sourdough
GCA_014195445.1	Garicola koreensis	Seau-jeot, a traditional fermented seafood###saeu-jeot (Korean salted fermented shrimp)	#Fermented	83.99	1.84	27	2245867	65.44	1138164	Seau-jeot, a traditional fermented seafood###saeu-jeot (Korean salted fermented shrimp)	seau-jeot	shrimp	seafood	fermented_seafood
GCA_015244675.1	Gluconobacter cerevisiae	fermenting lambic beer	#Beverage	96.08	5.62	40	3006335	58.32	206922	fermenting lambic beer	beer	barley	grain	fermented_beverages
GCA_000197735.1	Glutamicibacter arilaitensis	Food, Cheese, Reblochon###Surface of Reblochon cheese###Reblochon cheese	#Dairy product	99.41	0.46	3	3918192	59.27	3859257	Food, Cheese, Reblochon###Surface of Reblochon cheese###Reblochon cheese	cheese	milk	dairy	fermented_dairy
GCA_009659515.1	Gracilibacillus thailandensis	Fermented fish (<I>pla-ra</I>) in Thailand###fermented fish (pla-ra) from a market###pla-ra (traditional fermented fish)	#Fermented	98.39	0.81	116	4326512	36.63	73029	Fermented fish (<I>pla-ra</I>) in Thailand###fermented fish (pla-ra) from a market###pla-ra (traditional fermented fish)	pla-ra	fish	seafood	fermented_seafood
GCA_009902005.1	Halomonas alimentaria	Food, Jeotgal, korean traditinal fermented seafood###From jeotgal (Korean traditional fermented seafood)###Jeotgal, Korean traditional fermented seafood###seafood jeotgal	#Fermented	99.68	0.45	7	3281832	66.3	3266661	Food, Jeotgal, korean traditinal fermented seafood###From jeotgal (Korean traditional fermented seafood)###Jeotgal, Korean traditional fermented seafood###seafood jeotgal	jeotgal	seafood	seafood	fermented_seafood
GCA_000829445.1	Jeotgalibacillus alimentarius	Food, Jeotgal, fermented seafood###Jeotgal, Korean traditional fermented seafood###jeotgal (traditional Korean fermented seafood)###traditional fermented seafood (jeotgal)	#Fermented	93.8	6.45	32	3364745	43.13	315125	Food, Jeotgal, fermented seafood###Jeotgal, Korean traditional fermented seafood###jeotgal (traditional Korean fermented seafood)###traditional fermented seafood (jeotgal)	jeotgal	seafood	seafood	fermented_seafood
GCA_003387165.1	Jeotgalicoccus halotolerans	Jeotgal###Jeotgal (traditional Korean fermented seafood)###jeotgal, traditional Korean fermented seafood	#Fermented	90.61	4.72	17	2232970	41.21	223876	Jeotgal###Jeotgal (traditional Korean fermented seafood)###jeotgal, traditional Korean fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_000425845.1	Jeotgalicoccus psychrophilus	Food, Fermented seafood jeotgal###Jeotgal, traditional Korean fermented seafood###Jeotgal (traditional Korean fermented seafood)###jeotgal, Korean fermented seafood	#Fermented	97.4	1.2	28	2345682	40.24	201008	Food, Fermented seafood jeotgal###Jeotgal, traditional Korean fermented seafood###Jeotgal (traditional Korean fermented seafood)###jeotgal, Korean fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_003311635.1	Komagataeibacter cocois	gel pellicle sample of naturally fermented coconut milk	#Fermented	99.24	0.76	75	3406946	62.3	168149	gel pellicle sample of naturally fermented coconut milk	fermented coconut milk	coconut	fruit	fermented_beverages
GCA_000964405.1	Komagataeibacter hansenii	Food, Local vinegar brew###Local vinegar brewery###Mutant derived from vinegar isolate NCIB 8745###vinegar	NA	99.87	2.15	335	3683857	59.29	25111	Food, Local vinegar brew###Local vinegar brewery###Mutant derived from vinegar isolate NCIB 8745###vinegar	vinegar	grape	fruit	vinegar
GCA_000164395.1	Komagataeibacter hansenii	vinegar	NA	98.1	1.58	1	3636659	59.5	3636659	vinegar	vinegar	grape	fruit	vinegar
GCA_000964425.1	Komagataeibacter intermedius	Swiss Kombucha beverage###Liquid phase of a tea fungus beverage (Kombucha)###tea fungus beverage (Komucha)	#Beverage	100	1.33	295	3750984	61.67	61064	Swiss Kombucha beverage###Liquid phase of a tea fungus beverage (Kombucha)###tea fungus beverage (Komucha)	kombucha	sugar	sugar	fermented_beverages
GCA_000613305.1	Komagataeibacter kakiaceti	Kaki vinegar in Kumamoto Pref.###kaki vinegar	#Fruit (Seed)	49.47	0.95	947	3133102	62.14	5713	Kaki vinegar in Kumamoto Pref.###kaki vinegar	vinegar	persimmon	fruit	vinegar
GCA_003207815.1	Komagataeibacter oboediens	Food, Red wine vinegar###Submerged cider vinegar fermentation at a factory###industrial red wine vinegar fermentation	#Beverage	100	0.57	278	3777265	61.35	59803	Food, Red wine vinegar###Submerged cider vinegar fermentation at a factory###industrial red wine vinegar fermentation	vinegar	grape	fruit	vinegar
GCA_002155145.1	Kushneria konosiri	Korean traditional salt-fermented seafood Daemi-jeot###Daemi-jeot, a traditional Korean salted and fermented seafood, which is made of larval gizzard shad (Konosirus punctatus) with solar salt	#Fermented	98.62	1.02	1	3584631	59.1	3584631	Korean traditional salt-fermented seafood Daemi-jeot###Daemi-jeot, a traditional Korean salted and fermented seafood, which is made of larval gizzard shad (Konosirus punctatus) with solar salt	daemi-jeot	seafood	seafood	fermented_seafood
GCA_003633775.1	Kushneria sinocarnis	Chinese traditional cured meat	#Meat	98.98	2.82	18	3510707	64.11	426635	Chinese traditional cured meat	salami	meat	meat	fermented_meat
GCA_001311195.1	Lacticaseibacillus camelliae	Plant, Fermented tea leaves###Fermented tea leaves (<I>miang</I>) in Thailand###fermented tea leaves (miang)	#Leaf (Phyllosphere)	53.47	0.98	161	2542116	55.36	27973	Plant, Fermented tea leaves###Fermented tea leaves (<I>miang</I>) in Thailand###fermented tea leaves (miang)	tea	tea	plant	fermented_beverages
GCA_000615205.1	Lacticaseibacillus casei	Food, Cheese###cheese	#Dairy product	74.35	1.28	178	2780019	47.75	38203	Food, Cheese###cheese	cheese	milk	dairy	fermented_dairy
GCA_001311155.1	Lacticaseibacillus manihotivorans	Cassava fermentation process###Cassava fermenter###cassava sour starch fermentation	#Fermented	40.79	2.18	307	3200956	47.6	22973	Cassava fermentation process###Cassava fermenter###cassava sour starch fermentation	cassava	cassava	root/tuber	fermented_cassava
GCA_023656965.1	Lacticaseibacillus paracasei subsp. paracasei	lactic acid beverage ""Yakult""	#Beverage	93.5	3.84	65	3033504	46.27	134811	lactic acid beverage """"Yakult""""	yakult	milk	dairy	fermented_dairy
GCA_003946305.1	Lacticaseibacillus porcinae	From nem chua samples(fermented pork)###Traditional Vietnamese nem chua###Food,Nem chua (fermented pork)###nem chua samples (fermented pork)	#Meat	99.35	0.84	36	2838071	47.21	179587	From nem chua samples(fermented pork)###Traditional Vietnamese nem chua###Food,Nem chua (fermented pork)###nem chua samples (fermented pork)	nem chua	pork	meat	fermented_meat
GCA_003946025.1	Lacticaseibacillus songhuajiangensis	Sourdough###traditional sourdough###From traditional sourdough	#Food	99.02	1.72	91	2605895	52.72	42582	Sourdough###traditional sourdough###From traditional sourdough	sourdough	wheat	grain	sourdough
GCA_001312865.1	Lacticaseibacillus thailandensis	Plant, Fermented tea leaves###fermented tea leaves (miang)	#Leaf (Phyllosphere)	57.75	2.83	21	2062475	53.44	338391	Plant, Fermented tea leaves###fermented tea leaves (miang)	tea	tea	plant	fermented_beverages
GCA_001435215.1	Lactiplantibacillus argentoratensis	Plant, Root of fermented manioc###Vegetable matrices###Sour cassava (fufu)###fermented cassava roots (fufu)	#Root (Rhizome)	99.35	1.39	138	3164489	45.04	88621	Plant, Root of fermented manioc###Vegetable matrices###Sour cassava (fufu)###fermented cassava roots (fufu)	fufu	cassava	root/tuber	fermented_cassava
GCA_001039045.1	Lactiplantibacillus herbarum	traditional Chinese fermented radish	#Fermented	96.16	2.37	55	2899876	43.5	118101	traditional Chinese fermented radish	pickle	radish	root/tuber	pickled_fruits_vegetables_roots
GCA_005405385.1	Lactiplantibacillus mudanjiangensis	Korean pickle, Japanese pickle, Chinese pickle###Pickle###traditional pickle###From traditional pickle	#Fermented	99.02	1.17	13	3289607	43.07	583835	Korean pickle, Japanese pickle, Chinese pickle###Pickle###traditional pickle###From traditional pickle	pickle	vegetable	vegetable	pickled_fruits_vegetables_roots
GCA_001888655.1	Lactiplantibacillus plantarum subsp. plantarum	Food, Sauerkraut###pickled cabbage	NA	99.02	1.39	30	3197633	44.54	368952	Food, Sauerkraut###pickled cabbage	sauerkraut	cabbage	vegetable	pickled_fruits_vegetables_roots
GCA_001438845.1	Lactiplantibacillus xiangfangensis	Chinese pickle###pickle	#Food	99.02	1.72	77	2981246	45.12	113879	Chinese pickle###pickle	pickle	vegetable	vegetable	pickled_fruits_vegetables_roots
GCA_001311725.1	Lactobacillus acetotolerans	Food, Turbid broth of rice vinegar###Turbid broth of rice vinegar###fermented vinegar broth	NA	28.73	0.09	104	1577546	36.16	28429	Food, Turbid broth of rice vinegar###Turbid broth of rice vinegar###fermented vinegar broth	vinegar	rice	grain	vinegar
GCA_001971585.1	Companilactobacillus allii	From scallion kimchi###Scallion kimchi in Gwangju###scallion kimchi	#Fermented	99.13	0	2	2534178	35.37	2506167	From scallion kimchi###Scallion kimchi in Gwangju###scallion kimchi	kimchi	scallion	root/tuber	pickled_fruits_vegetables_roots
GCA_000178475.1	Lactobacillus amylolyticus	Brewery###acidified beer wort	NA	97.1	0.81	73	1540806	38.27	49688	Brewery###acidified beer wort	beer	barley	grain	fermented_beverages
GCA_003124125.1	Levilactobacillus bambusae	traditional fermented ma bamboo shoot products	#Food	98.6	0.75	40	1966274	46.31	512363	traditional fermented ma bamboo shoot products	fermented bamboo shoots	bamboo	other plant based	pickled_fruits_vegetables_roots
GCA_001434585.1	Companilactobacillus crustorum	Food, Wheat sourdough###Wheat sourdough###Sourdough	#Fermented	98.8	1.74	89	2215815	34.99	50865	Food, Wheat sourdough###Wheat sourdough###Sourdough	sourdough	wheat	grain	sourdough
GCA_001953135.1	Lactobacillus delbrueckii subsp. bulgaricus	yoghourt	#Dairy product	96.87	0	1	1868180	49.78	1868180	yoghourt	yogurt	milk	dairy	fermented_dairy
GCA_000056065.1	Lactobacillus delbrueckii subsp. bulgaricus	Food, Bulgarian yogurt###Bulgarian yogurt###bulgarian yoghourt	#Dairy product	97.51	0	1	1864998	49.72	1864998	Food, Bulgarian yogurt###Bulgarian yogurt###bulgarian yoghourt	yogurt	milk	dairy	fermented_dairy
GCA_000615095.1	Lactobacillus delbrueckii	sour grain mash	#Food	71.38	0.55	150	1725089	50.16	23089	sour grain mash	beer	barley	grain	fermented_beverages
GCA_001189855.1	Lactobacillus delbrueckii subsp. indicus	Indian dairy products###Dairy fermented product###traditional dairy fermented product (Dahi type)	#Dairy product	96.68	0.89	84	1877139	49.54	51208	Indian dairy products###Dairy fermented product###traditional dairy fermented product (Dahi type)	cheese	milk	dairy	fermented_dairy
GCA_000192165.1	Lactobacillus delbrueckii subsp. lactis	Food, Cheese, Emmental Swiss###Emmental (Swiss) cheese###Cheese,Swiss Emmenthal###emmental cheese	#Dairy product	96.24	0	26	2071079	49.8	2038844	Food, Cheese, Emmental Swiss###Emmental (Swiss) cheese###Cheese,Swiss Emmenthal###emmental cheese	cheese	milk	dairy	fermented_dairy
GCA_001190005.1	Lactobacillus delbrueckii subsp. sunkii	From sunki, Japanese traditional fermented vegetable(pickle)###Sunki, traditional Japanese pickles###sunki, Japanese traditional fermented vegetable	#Fermented	97.44	1	32	1945263	50.1	121749	From sunki, Japanese traditional fermented vegetable(pickle)###Sunki, traditional Japanese pickles###sunki, Japanese traditional fermented vegetable	sunki	vegetable	vegetable	pickled_fruits_vegetables_roots
GCA_001435505.1	Companilactobacillus futsaii	Fu-tsai, a traditional fermented mustard product###Fermented mustard	NA	98.47	2.07	131	2511207	35.59	43610	Fu-tsai, a traditional fermented mustard product###Fermented mustard	pickle	mustard greens	vegetable	pickled_fruits_vegetables_roots
GCA_000160855.1	Lactobacillus helveticus	Food, Cheese, Emmental Swiss###Emmental (Swiss) cheese###emmental cheese	#Dairy product	97.53	0.03	49	2020582	36.78	288743	Food, Cheese, Emmental Swiss###Emmental (Swiss) cheese###emmental cheese	cheese	milk	dairy	fermented_dairy
GCA_000615685.1	Lactobacillus kefiranofaciens	Food, Kefir grains###kefir grains	NA	83.94	0.34	123	2254088	37.21	55089	Food, Kefir grains###kefir grains	kefir	milk	dairy	fermented_dairy
