genome_name	bgc_NRPS	bgc_RiPP-like	bgc_T1PKS	bgc_T3PKS	bgc_bacteriocin	bgc_betalactone	bgc_other	bgc_terpene	smorf	deeppeptide_Peptide	deeppeptide_Propeptide	batch
AlvarezOrdonezA_xxxx__C04-18__bin.1	0	0	0	0	0	0	5	0	6	18	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C05-18__bin.17	0	0	0	0	0	0	2	0	14	7	34	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C05-18__bin.5	0	0	0	0	0	0	0	0	7	9	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C05-18__bin.8	1	0	0	0	0	0	4	0	8	38	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C05-18__bin.9	2	1	0	1	0	0	1	1	12	27	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C05-19__bin.10	0	0	0	0	0	0	0	1	8	22	21	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C05-19__bin.11	0	1	0	0	0	0	1	0	3	23	19	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C06-18__bin.14	0	0	0	2	0	1	2	1	14	50	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C06-18__bin.5	0	1	0	0	0	0	0	0	10	10	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C06-19__bin.13	0	0	0	1	0	1	3	1	12	26	24	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C06-19__bin.3	0	0	0	0	0	0	1	0	11	22	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C07-18__bin.11	16	0	0	0	0	1	25	2	26	45	56	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C07-18__bin.12	0	3	0	0	0	0	0	0	17	27	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C07-18__bin.2	0	0	0	0	0	0	0	0	6	37	39	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C07-18__bin.6	0	1	0	0	0	0	1	0	18	29	51	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C07-19__bin.17	18	1	0	2	0	0	26	2	30	40	51	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C07-19__bin.8	0	0	0	0	0	0	0	0	8	28	33	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F02-18__bin.10	0	0	0	1	0	0	0	0	13	6	16	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F02-18__bin.4	0	0	0	0	0	0	1	0	3	29	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F02-19__bin.10	0	1	0	0	0	0	0	0	14	25	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F02-19__bin.16	0	0	0	1	0	0	0	0	5	2	8	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F02-19__bin.17	0	0	0	0	0	0	0	0	4	15	12	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F02-19__bin.8	0	1	0	0	0	0	3	0	4	28	21	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F03-18__bin.1	0	0	0	1	0	0	0	0	19	23	34	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F03-18__bin.3	0	0	0	1	0	0	0	0	4	18	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F03-18__bin.4	0	0	0	0	0	0	0	0	9	20	19	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F03-19__bin.17	0	0	0	0	0	0	0	0	9	19	30	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F03-19__bin.9	0	0	0	0	0	0	0	0	9	12	15	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F04-18__bin.3	0	0	0	1	0	0	2	0	6	18	24	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-18__bin.1	0	0	0	0	0	0	0	0	10	22	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-18__bin.4	0	0	0	0	0	0	1	0	7	20	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-18__bin.6	0	0	0	0	0	0	0	0	14	20	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-18__bin.7	0	0	0	0	0	0	0	0	9	15	20	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-19__bin.1	0	0	0	0	0	0	0	0	10	10	9	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-19__bin.11	0	0	0	0	0	0	0	0	7	21	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-19__bin.13	0	0	0	0	0	0	0	0	11	15	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-19__bin.3	0	0	0	0	0	0	1	0	5	18	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F05-19__bin.4	0	0	0	0	0	0	0	0	19	24	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F06-18__bin.1	0	0	0	0	0	0	1	0	6	17	12	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F06-18__bin.4	0	0	0	0	0	0	0	0	5	22	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F06-19__bin.1	0	0	0	1	0	0	2	0	12	24	30	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F06-19__bin.2	0	0	0	0	0	0	1	0	10	36	31	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F06-19__bin.3	0	1	0	1	0	0	0	0	6	27	38	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F07-18__bin.10	0	0	0	1	0	0	2	0	15	22	37	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F07-18__bin.11	0	1	0	0	0	0	0	0	17	26	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F07-18__bin.6	0	2	0	1	0	0	4	1	13	23	36	2025-04-16-batch1
AlvarezOrdonezA_xxxx__F07-19__bin.6	0	0	0	1	0	0	2	0	13	16	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-21__bin.1	0	8	0	1	0	1	6	0	19	47	72	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-21__bin.3	0	1	0	0	0	0	0	0	12	38	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.12	0	2	0	0	0	0	2	1	4	40	34	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.2	0	2	0	0	0	0	4	0	4	32	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.22	0	0	0	1	0	0	0	0	12	20	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.24	0	1	0	0	0	2	2	0	11	45	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.3	0	1	0	0	0	0	3	0	9	28	20	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.5	0	0	0	0	0	0	0	1	9	22	36	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-22__bin.9	0	0	0	0	0	0	5	0	9	46	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-23X__bin.5	0	1	0	0	0	0	1	1	20	42	45	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-23X__bin.6	0	0	0	1	0	0	5	1	21	40	58	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-23X__bin.8	0	2	0	0	0	0	1	0	21	47	53	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-23__bin.1	0	0	0	0	0	0	3	1	18	45	54	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-23__bin.2	0	0	0	1	0	0	1	0	5	17	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-23__bin.3	0	1	0	0	0	0	0	0	13	31	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-24__bin.2	0	3	0	1	0	1	2	0	12	31	45	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-25__bin.2	0	0	0	0	0	0	0	1	17	39	48	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-25__bin.7	0	1	0	0	0	0	1	0	15	33	43	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-26__bin.1	0	3	0	1	0	1	2	0	15	28	42	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-27__bin.2	0	0	0	1	0	0	2	1	19	37	64	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-27__bin.3	0	3	0	1	0	1	3	0	12	26	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-27__bin.4	0	1	0	0	0	0	1	0	11	31	36	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-28__bin.1	0	1	0	0	0	0	0	0	10	32	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-28__bin.3	0	1	0	1	0	1	2	0	13	24	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.1	0	0	0	1	0	0	0	0	10	32	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.10	0	0	0	1	0	0	0	0	9	18	19	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.13	0	0	0	0	0	0	5	0	9	56	44	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.17	0	0	0	1	0	1	1	1	10	44	34	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.3	0	2	0	0	0	0	1	0	24	49	57	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.4	0	1	0	0	0	0	5	1	8	23	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.6	0	0	0	0	0	0	3	1	6	29	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-29__bin.9	2	0	0	1	0	0	2	1	13	33	25	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.1	0	3	0	0	0	0	0	0	16	41	53	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.11	1	0	0	0	0	0	2	2	15	27	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.12	0	0	0	0	0	0	6	0	8	40	33	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.16	0	0	0	0	0	0	1	0	9	10	16	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.4	0	0	0	1	0	0	0	0	10	22	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.6	0	0	1	1	0	0	1	2	14	32	36	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.7	0	0	0	1	0	0	0	0	5	16	25	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q01-30__bin.9	0	0	0	1	0	0	0	0	8	21	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-21__bin.1	0	1	0	0	0	0	4	0	20	36	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-21__bin.6	0	1	0	0	0	0	0	0	10	21	18	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-21__bin.7	0	1	0	1	0	1	2	0	17	48	75	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.14	0	1	0	1	0	0	1	0	11	12	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.15	0	1	0	0	0	0	0	0	11	23	25	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.2	0	1	0	0	0	0	1	0	6	28	19	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.25	0	1	0	0	0	0	0	0	7	16	20	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.3	0	3	0	1	0	1	1	0	12	27	25	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.7	0	1	0	0	0	0	3	0	9	17	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-23__bin.9	0	0	0	1	0	0	3	1	11	39	21	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-24__bin.1	0	0	0	1	0	1	1	0	10	31	31	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-24__bin.13	0	1	0	0	0	0	1	0	6	16	13	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-24__bin.18	0	1	0	0	0	0	0	0	11	25	18	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-24__bin.3	0	1	0	0	0	0	0	0	16	27	30	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-25__bin.15	0	1	0	0	0	0	0	0	9	18	21	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-25__bin.18	0	1	0	0	0	0	1	0	5	15	14	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-25__bin.4	0	1	0	0	0	0	0	0	11	23	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-25__bin.5	0	2	0	1	0	1	2	0	16	36	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-26__bin.10	0	1	0	0	0	0	1	0	4	16	13	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-26__bin.12	0	2	0	1	0	1	1	0	12	34	37	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-26__bin.6	0	0	0	0	0	0	1	0	11	18	16	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-26__bin.7	0	1	0	0	0	0	0	0	12	21	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.1	0	2	0	1	0	0	1	0	17	38	61	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.12	1	0	0	0	0	0	2	0	11	21	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.13	0	1	0	1	0	1	0	0	17	20	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.14	0	1	0	0	0	0	0	0	6	14	18	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.15	0	0	0	1	0	0	0	0	7	18	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.2	0	1	0	0	0	1	1	0	12	57	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.3	0	0	0	0	0	1	0	0	8	5	6	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-27__bin.6	0	2	0	0	0	1	2	0	12	39	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.10	0	1	0	0	0	0	0	0	6	19	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.13	0	3	0	1	0	0	1	0	17	45	59	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.15	0	0	0	0	0	1	4	0	9	15	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.16	0	1	0	1	0	1	0	0	19	23	24	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.17	1	1	0	0	0	0	3	0	15	34	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.23	0	2	0	1	0	0	1	0	26	40	47	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.8	0	1	0	0	0	1	1	0	12	56	39	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-28__bin.9	0	1	0	0	0	0	0	0	14	34	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-29__bin.13	0	1	0	0	0	1	1	0	12	60	46	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-29__bin.18	0	2	0	0	0	1	2	0	9	37	38	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-29__bin.2	0	0	0	0	0	1	1	0	8	6	8	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-29__bin.3	0	1	0	1	0	1	0	0	17	19	20	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-29__bin.7	0	1	0	0	0	0	0	0	8	27	23	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-29__bin.8	2	3	0	0	0	0	12	0	7	56	52	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.11	0	2	0	0	0	0	2	0	14	32	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.14	0	0	0	0	0	1	5	0	11	21	32	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.17	0	2	0	0	0	0	0	0	15	24	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.22	1	2	0	0	0	0	2	0	13	29	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.26	0	2	0	0	0	0	2	0	8	37	39	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.29	0	1	0	0	0	0	0	0	7	22	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q02-30__bin.9	0	1	0	0	0	1	2	0	14	61	42	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-21__bin.1	0	1	0	1	0	1	2	0	12	27	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-21__bin.5	0	2	0	1	0	1	1	0	14	37	42	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-21__bin.7	4	1	0	0	0	1	5	0	6	50	34	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-21__bin.8	0	0	0	0	0	0	2	0	14	31	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-21__bin.9	0	2	0	0	0	0	3	0	13	60	53	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-22__bin.2	0	0	1	0	0	1	3	0	6	20	11	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-23__bin.1	0	0	0	0	0	0	3	0	20	35	34	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-23__bin.2	0	0	0	1	0	0	1	0	14	46	67	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-24__bin.2	0	5	0	1	0	0	2	0	19	59	90	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-24__bin.3	0	0	0	0	0	0	2	0	18	37	30	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-25__bin.2	0	0	0	0	0	0	2	0	18	35	33	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-25__bin.3	0	3	0	1	0	1	2	0	22	55	76	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-26__bin.1	0	5	0	1	0	0	2	0	20	57	92	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-26__bin.3	0	0	0	0	0	0	2	0	17	36	33	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-27__bin.10	0	1	0	0	0	0	0	0	9	38	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-27__bin.2	0	0	0	0	0	0	3	0	21	38	42	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-27__bin.3	0	2	0	0	0	0	0	0	16	28	44	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-27__bin.6	0	2	0	1	0	0	2	0	19	49	82	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-27__bin.7	0	6	0	1	0	0	4	0	19	61	57	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-28__bin.10	0	2	0	1	0	0	0	0	16	25	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-28__bin.11	0	0	0	1	0	0	0	0	10	14	18	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-28__bin.12	0	0	0	0	0	0	3	0	21	38	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-28__bin.5	0	0	0	1	0	0	0	0	18	56	73	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-28__bin.7	0	0	0	0	0	0	0	0	9	22	16	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-29__bin.13	0	3	0	1	0	1	2	0	15	29	28	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-29__bin.8	1	1	0	1	0	0	3	1	18	25	52	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-30__bin.1	2	0	0	0	0	0	3	0	12	23	30	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-30__bin.10	1	1	0	1	0	0	3	1	18	31	58	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-30__bin.11	0	4	0	1	0	0	4	0	20	40	29	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-30__bin.5	0	0	0	0	0	0	4	0	9	17	12	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q03-30__bin.7	0	0	0	0	0	0	3	0	22	35	39	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-21__bin.10	0	0	0	1	0	0	1	0	10	23	36	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-21__bin.11	0	1	0	0	0	0	1	0	8	35	26	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-21__bin.14	0	1	0	0	0	0	1	0	7	51	45	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-21__bin.16	0	0	0	0	0	1	4	0	8	22	37	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-21__bin.23	0	1	0	0	0	1	2	0	11	31	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-23__bin.7	0	2	0	0	0	0	0	0	14	22	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-23__bin.8	0	0	0	0	0	0	0	0	4	12	10	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-24__bin.10	0	0	0	0	0	1	5	0	11	11	14	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-24__bin.3	0	4	0	1	0	0	4	0	12	36	49	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-24__bin.6	0	1	0	0	0	0	0	0	8	12	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-24__bin.9	0	0	0	1	0	0	0	0	13	19	55	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-25__bin.12	0	0	0	1	0	0	1	0	15	26	45	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-25__bin.14	0	1	0	0	0	0	3	0	8	23	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-25__bin.18	0	1	0	0	0	0	2	0	15	23	36	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-25__bin.3	0	0	0	0	0	1	4	0	11	14	10	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-25__bin.4	0	3	0	0	0	0	4	0	2	18	16	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-25__bin.9	0	7	0	0	0	0	3	0	15	39	49	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-26__bin.13	2	3	0	0	0	0	5	0	3	24	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-26__bin.2	0	0	0	0	0	1	4	0	9	16	35	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-26__bin.3	0	2	0	1	0	0	3	0	11	34	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-26__bin.8	0	0	0	1	0	0	4	0	21	31	41	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-26__bin.9	0	1	0	0	0	0	3	0	3	41	23	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-27__bin.11	0	1	0	0	0	0	0	0	13	25	39	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-27__bin.15	0	0	0	1	0	0	0	0	14	9	20	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-27__bin.2	0	1	0	0	0	0	3	0	16	17	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-27__bin.4	0	1	0	1	0	0	4	0	15	33	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-27__bin.8	0	6	0	1	0	0	3	0	14	47	63	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-28__bin.13	0	0	0	1	0	0	0	0	14	8	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-28__bin.3	0	3	0	0	0	0	0	0	10	38	47	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-28__bin.4	0	2	0	1	0	0	3	0	14	34	55	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-28__bin.6	0	0	0	0	0	0	3	0	11	6	14	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-28__bin.7	0	6	0	1	0	1	2	0	14	43	55	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-29__bin.10	0	1	0	0	0	0	3	1	11	28	42	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-29__bin.4	0	6	0	1	0	0	2	0	9	40	49	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-29__bin.8	0	2	0	1	0	0	0	0	17	27	45	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.1	0	2	0	1	0	0	5	2	23	63	78	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.13	1	1	0	0	0	1	4	0	17	22	21	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.2	0	1	0	0	0	0	3	0	5	24	31	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.3	1	3	0	0	0	0	5	0	3	20	19	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.6	0	0	0	0	0	0	1	0	4	8	16	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.7	0	0	0	1	0	0	2	1	14	57	54	2025-04-16-batch1
AlvarezOrdonezA_xxxx__Q04-30__bin.8	0	3	0	1	0	0	1	0	12	40	46	2025-04-16-batch1
